,variable,LAYING_1,LAYING_2,LAYING_3,LAYING_4,LAYING_5,LAYING_6,LAYING_7,LAYING_8,LAYING_9,LAYING_10,LAYING_11,LAYING_12,LAYING_13,LAYING_14,LAYING_15,LAYING_16,LAYING_17,LAYING_18,LAYING_19,LAYING_20,LAYING_21,LAYING_22,LAYING_23,LAYING_24,LAYING_25,LAYING_26,LAYING_27,LAYING_28,LAYING_29,LAYING_30,SITTING_1,SITTING_2,SITTING_3,SITTING_4,SITTING_5,SITTING_6,SITTING_7,SITTING_8,SITTING_9,SITTING_10,SITTING_11,SITTING_12,SITTING_13,SITTING_14,SITTING_15,SITTING_16,SITTING_17,SITTING_18,SITTING_19,SITTING_20,SITTING_21,SITTING_22,SITTING_23,SITTING_24,SITTING_25,SITTING_26,SITTING_27,SITTING_28,SITTING_29,SITTING_30,STANDING_1,STANDING_2,STANDING_3,STANDING_4,STANDING_5,STANDING_6,STANDING_7,STANDING_8,STANDING_9,STANDING_10,STANDING_11,STANDING_12,STANDING_13,STANDING_14,STANDING_15,STANDING_16,STANDING_17,STANDING_18,STANDING_19,STANDING_20,STANDING_21,STANDING_22,STANDING_23,STANDING_24,STANDING_25,STANDING_26,STANDING_27,STANDING_28,STANDING_29,STANDING_30,WALKING_1,WALKING_2,WALKING_3,WALKING_4,WALKING_5,WALKING_6,WALKING_7,WALKING_8,WALKING_9,WALKING_10,WALKING_11,WALKING_12,WALKING_13,WALKING_14,WALKING_15,WALKING_16,WALKING_17,WALKING_18,WALKING_19,WALKING_20,WALKING_21,WALKING_22,WALKING_23,WALKING_24,WALKING_25,WALKING_26,WALKING_27,WALKING_28,WALKING_29,WALKING_30,WALKING_DOWNSTAIRS_1,WALKING_DOWNSTAIRS_2,WALKING_DOWNSTAIRS_3,WALKING_DOWNSTAIRS_4,WALKING_DOWNSTAIRS_5,WALKING_DOWNSTAIRS_6,WALKING_DOWNSTAIRS_7,WALKING_DOWNSTAIRS_8,WALKING_DOWNSTAIRS_9,WALKING_DOWNSTAIRS_10,WALKING_DOWNSTAIRS_11,WALKING_DOWNSTAIRS_12,WALKING_DOWNSTAIRS_13,WALKING_DOWNSTAIRS_14,WALKING_DOWNSTAIRS_15,WALKING_DOWNSTAIRS_16,WALKING_DOWNSTAIRS_17,WALKING_DOWNSTAIRS_18,WALKING_DOWNSTAIRS_19,WALKING_DOWNSTAIRS_20,WALKING_DOWNSTAIRS_21,WALKING_DOWNSTAIRS_22,WALKING_DOWNSTAIRS_23,WALKING_DOWNSTAIRS_24,WALKING_DOWNSTAIRS_25,WALKING_DOWNSTAIRS_26,WALKING_DOWNSTAIRS_27,WALKING_DOWNSTAIRS_28,WALKING_DOWNSTAIRS_29,WALKING_DOWNSTAIRS_30,WALKING_UPSTAIRS_1,WALKING_UPSTAIRS_2,WALKING_UPSTAIRS_3,WALKING_UPSTAIRS_4,WALKING_UPSTAIRS_5,WALKING_UPSTAIRS_6,WALKING_UPSTAIRS_7,WALKING_UPSTAIRS_8,WALKING_UPSTAIRS_9,WALKING_UPSTAIRS_10,WALKING_UPSTAIRS_11,WALKING_UPSTAIRS_12,WALKING_UPSTAIRS_13,WALKING_UPSTAIRS_14,WALKING_UPSTAIRS_15,WALKING_UPSTAIRS_16,WALKING_UPSTAIRS_17,WALKING_UPSTAIRS_18,WALKING_UPSTAIRS_19,WALKING_UPSTAIRS_20,WALKING_UPSTAIRS_21,WALKING_UPSTAIRS_22,WALKING_UPSTAIRS_23,WALKING_UPSTAIRS_24,WALKING_UPSTAIRS_25,WALKING_UPSTAIRS_26,WALKING_UPSTAIRS_27,WALKING_UPSTAIRS_28,WALKING_UPSTAIRS_29,WALKING_UPSTAIRS_30
1,tBodyAcc-mean()-X,0.221598244,0.281373404,0.275516853,0.263559215,0.278334326,0.24865652,0.250176694,0.261254283,0.259195537,0.280230574,0.280592971,0.260113433,0.27671636,0.23327544,0.289475653,0.274227163,0.269780086,0.274691577,0.272653733,0.239507882,0.271325472,0.279959721,0.274038008,0.272850495,0.250791829,0.271645865,0.274102492,0.275913483,0.287295197,0.281033901,0.261237565,0.277087352,0.257197599,0.27153828,0.27369414,0.276778487,0.284674637,0.267491473,0.248326744,0.270612056,0.276590197,0.275007225,0.2743285,0.279990577,0.27290338,0.280768574,0.27735702,0.277270019,0.273830316,0.278045439,0.277539617,0.273583823,0.273351252,0.27347569,0.278541482,0.25824353,0.273941303,0.276977629,0.277179978,0.268336081,0.278917629,0.277911472,0.280046513,0.280499746,0.282544391,0.280346249,0.282723539,0.279620986,0.282310057,0.276650301,0.277715563,0.277405835,0.277758431,0.280545614,0.278915804,0.283497403,0.277942503,0.278458806,0.27817226,0.278076905,0.276952243,0.279053862,0.277899323,0.280348884,0.278013702,0.281127035,0.279566922,0.277795069,0.277965066,0.277112699,0.277330759,0.276426586,0.275567462,0.278582015,0.277842346,0.283658868,0.275592962,0.27468631,0.278502842,0.278574077,0.271821893,0.277128666,0.27588313,0.271959599,0.273899208,0.276023565,0.272341855,0.273887759,0.273931172,0.272589336,0.279183527,0.27886459,0.273211884,0.276980816,0.278992759,0.279264444,0.276849485,0.281228224,0.271999917,0.276406758,0.28918832,0.277615348,0.292423485,0.27996533,0.293543927,0.277045258,0.28030708,0.283484089,0.295923445,0.290401594,0.291605632,0.281521097,0.294907553,0.293422116,0.280198851,0.295586802,0.293918283,0.288439469,0.262688054,0.296144421,0.30146102,0.284458964,0.289897411,0.288631209,0.291329666,0.279284583,0.297544188,0.293642077,0.293140441,0.283190647,0.25546169,0.24716479,0.260819873,0.270876697,0.26845947,0.268229355,0.248706923,0.258880152,0.262436476,0.267121853,0.263775859,0.272970339,0.25820394,0.262421066,0.270187596,0.255986103,0.252604769,0.265401202,0.242118809,0.252098317,0.265194545,0.248391535,0.249995171,0.269881107,0.277995411,0.272691395,0.265770254,0.262005842,0.265423067,0.271415642
2,tBodyAcc-mean()-Y,-0.040513953,-0.01815874,-0.018955679,-0.015003184,-0.018304212,-0.010252917,-0.020441152,-0.021228173,-0.020526822,-0.024294484,-0.017659805,-0.017520392,-0.020440454,-0.011342465,-0.016629654,-0.016610351,-0.016846201,-0.017393768,-0.017142686,-0.014440628,-0.018423305,-0.014262986,-0.021655384,-0.017355521,-0.018894366,-0.019189573,-0.017986761,-0.016753786,-0.017196548,-0.01944941,-0.001308288,-0.015687994,-0.003502998,-0.007163065,-0.009900835,-0.014591162,-0.014610976,-0.006725506,-0.027016777,-0.015042682,-0.014919562,-0.015789299,-0.005877329,-0.008705655,-0.011718847,-0.010249794,-0.014156274,-0.012869128,-0.01673926,-0.014722931,-0.014400971,-0.012346845,-0.013394502,-0.01312551,-0.014769681,-0.007133645,-0.01552698,-0.018540444,-0.01663068,-0.008047313,-0.01613759,-0.018420827,-0.014337656,-0.009489111,-0.007004186,-0.018123633,-0.014574034,-0.014811307,-0.020045495,-0.01554186,-0.017199089,-0.016900254,-0.016789199,-0.015207813,-0.018351636,-0.016599967,-0.017412006,-0.016635352,-0.015424406,-0.018069505,-0.016708473,-0.015856321,-0.017747555,-0.014478534,-0.016356973,-0.016660831,-0.016593236,-0.017263512,-0.017260587,-0.017016389,-0.017383819,-0.01859492,-0.017176784,-0.014839948,-0.017285032,-0.016895419,-0.018653665,-0.018662887,-0.018089197,-0.017022351,-0.016647583,-0.015560928,-0.018566065,-0.021778538,-0.017080974,-0.020428693,-0.01848754,-0.017802363,-0.019177359,-0.021199992,-0.018161032,-0.016721361,-0.018361871,-0.02254464,-0.018647762,-0.015425959,-0.016647878,-0.015675972,-0.01629156,-0.017588039,-0.009918505,-0.022661416,-0.019355408,-0.009802009,-0.008501075,-0.01953684,-0.016633237,-0.021105867,-0.020399427,-0.020005077,-0.017809772,-0.018084267,-0.014372384,-0.020014141,-0.005630478,-0.018389858,-0.01673594,-0.016866692,-0.014594228,-0.009641208,-0.017319539,-0.019799937,-0.016211146,-0.014573035,-0.021017052,-0.01262581,-0.013556447,-0.022023047,-0.014941215,-0.01743839,-0.023953149,-0.021412113,-0.032410941,-0.03198043,-0.032526976,-0.027242539,-0.027563901,-0.028241514,-0.01951011,-0.014385492,-0.030315782,-0.02635749,-0.027739225,-0.020438818,-0.028752386,-0.014365495,-0.022864561,-0.022206068,-0.030398662,-0.028225805,-0.02372187,-0.026862256,-0.032384403,-0.025197943,-0.026986352,-0.02816338,-0.020095332,-0.027944394,-0.029946531,-0.02533117
3,tBodyAcc-mean()-Z,-0.113203554,-0.10724561,-0.101300478,-0.11068815,-0.107937604,-0.13311957,-0.101361037,-0.102245366,-0.107549721,-0.117168642,-0.108786578,-0.108160126,-0.104331865,-0.086833332,-0.11853024,-0.107310493,-0.10700628,-0.107698928,-0.108981462,-0.104274323,-0.103253832,-0.110800925,-0.104256776,-0.107236237,-0.10042883,-0.10500254,-0.107699733,-0.108344853,-0.109462068,-0.103658151,-0.104544182,-0.109218272,-0.09835792,-0.105874596,-0.1085403,-0.110127729,-0.122464598,-0.104461049,-0.075378469,-0.104253239,-0.112840218,-0.106307229,-0.097246511,-0.10040149,-0.113661253,-0.089140404,-0.113624085,-0.111904776,-0.108707654,-0.108369635,-0.112057888,-0.10582737,-0.103808679,-0.103041061,-0.10916044,-0.097444869,-0.105521913,-0.11151794,-0.110411819,-0.099515446,-0.110601818,-0.105908536,-0.101621723,-0.096157491,-0.102171096,-0.112172832,-0.09977783,-0.106114997,-0.095274748,-0.107964084,-0.10868663,-0.105527,-0.112124138,-0.103817702,-0.105910833,-0.103657729,-0.111432146,-0.108453356,-0.109041905,-0.10040276,-0.110417856,-0.104967424,-0.110597018,-0.108222554,-0.107352958,-0.110237796,-0.107835818,-0.106579385,-0.108659067,-0.10875621,-0.111148104,-0.105500358,-0.11267486,-0.111403065,-0.107741776,-0.110303166,-0.110912235,-0.107252091,-0.110820512,-0.109057512,-0.106096304,-0.103161106,-0.111431456,-0.106756369,-0.10762182,-0.10880405,-0.109792122,-0.104218315,-0.122736673,-0.113539477,-0.104319332,-0.107112511,-0.113382994,-0.110595953,-0.108737636,-0.108927011,-0.112822289,-0.103714705,-0.106632427,-0.098624707,-0.107566191,-0.116812942,-0.116139843,-0.106777525,-0.100319931,-0.107209356,-0.096938309,-0.107598135,-0.091027879,-0.110848597,-0.11107015,-0.109555932,-0.101993942,-0.092833017,-0.110526066,-0.119873705,-0.089243275,-0.103390809,-0.133695241,-0.104602926,-0.098168662,-0.10741578,-0.098812371,-0.10481882,-0.107192377,-0.106439619,-0.112837695,-0.108588974,-0.098133998,-0.099978142,-0.097302002,-0.1525139,-0.110064863,-0.114219456,-0.107471454,-0.122082439,-0.143769689,-0.11512212,-0.125219004,-0.118180421,-0.106797216,-0.10733973,-0.125767266,-0.112279689,-0.116952465,-0.124074518,-0.121290442,-0.112655891,-0.151054608,-0.121023948,-0.125414265,-0.117550862,-0.126890617,-0.114248611,-0.12621044,-0.121943461,-0.123530438,-0.121514026,-0.118000588,-0.124697494
4,tGravityAcc-mean()-X,-0.248881798,-0.509754238,-0.241758478,-0.420664662,-0.483470598,-0.476709879,-0.502814251,-0.405930036,-0.580252835,-0.453069738,-0.134832031,-0.378592065,-0.156852206,-0.145483632,-0.171993055,-0.206783742,-0.19913309,-0.220600509,-0.680043155,-0.472431416,-0.174349175,-0.418494577,-0.391564963,-0.359292534,-0.461102531,-0.621309715,-0.530434605,-0.490334542,-0.346789843,-0.344737755,0.831509933,0.940477273,0.901098985,0.869303006,0.880731444,0.933692935,0.969147824,0.832453878,0.916324511,0.791887198,0.871963798,0.926228975,0.925576512,0.93903876,0.890364262,0.942457378,0.944883748,0.909816469,0.581371509,0.924454522,0.940031368,0.839305929,0.936509243,0.919637604,0.865686078,0.782955612,0.839464714,0.907331309,0.891563755,0.825473837,0.942952,0.896928567,0.935030779,0.956197791,0.960188699,0.945139004,0.958728688,0.957669921,0.961323502,0.954008785,0.956464536,0.957317822,0.942695297,0.875319569,0.9655289,0.941587749,0.904678547,0.94757324,0.944045838,0.911231752,0.881213342,0.954064298,0.919857126,0.96644228,0.929794733,0.965460892,0.965351492,0.948514848,0.974508732,0.968556705,0.935223201,0.913017333,0.936506743,0.963999697,0.97262496,0.958067455,0.932566472,0.913586348,0.95186708,0.96309215,0.946468451,0.966873515,0.910855709,0.802973962,0.951524391,0.925981326,0.928112369,0.923865249,0.935222559,0.899965206,0.862524801,0.93609641,0.939809689,0.959701081,0.937483114,0.960647755,0.944759287,0.942930276,0.962374385,0.965217551,0.931874419,0.861831346,0.939057788,0.947731859,0.956649353,0.928531455,0.930623633,0.914023498,0.938417773,0.939807421,0.941746407,0.949861981,0.94187562,0.81629643,0.9323022,0.917818427,0.928817578,0.932277478,0.881940855,0.91972663,0.872683206,0.921820642,0.923711401,0.950883417,0.929627532,0.946797272,0.931380179,0.92929168,0.948486215,0.958000491,0.893351098,0.790717419,0.883533436,0.946264314,0.936821835,0.913632242,0.81874656,0.860368719,0.902647778,0.931861027,0.892626156,0.938371473,0.847634313,0.688256122,0.918544812,0.826874283,0.853530566,0.883330258,0.829428373,0.777095717,0.781177211,0.889454383,0.84343881,0.906369501,0.92769324,0.942095257,0.868000279,0.854508232,0.929258954,0.93182983
5,tGravityAcc-mean()-Y,0.705549773,0.752536639,0.8370321,0.915165104,0.954890346,0.956593814,0.393444278,0.589922435,-0.119154196,-0.139297681,0.943017941,0.803378835,0.656400944,0.485396927,0.899242553,-0.019927023,0.658792072,0.719755404,0.725646623,0.864882957,0.599992678,0.632484076,0.438434067,0.738430699,0.62065892,0.803015012,0.567879494,0.144073275,0.807535373,0.732661248,0.204411593,-0.105630024,0.127303379,0.21162254,0.168445524,0.068262866,0.006088466,0.240095117,-0.041425823,-0.041260775,0.213716306,0.083050901,0.101769752,-0.036453396,0.210849305,-0.086588254,-0.002814673,0.129886476,0.360343535,0.073338541,0.021520671,0.208553884,0.121751063,0.182254652,0.208287142,0.223105562,0.212947021,-0.112596728,0.155659457,0.114588393,-0.272983832,-0.370062697,-0.30173513,-0.075900906,-0.038710127,-0.230251036,-0.117607049,-0.090460349,-0.010383816,-0.043159783,-0.173082705,-0.218865356,-0.239943146,-0.226692231,-0.164713175,-0.057886705,-0.257486818,-0.204206321,-0.223897808,-0.305938717,-0.346155559,-0.226418774,-0.11740136,-0.145201301,-0.159316786,-0.140315422,-0.188504847,-0.247656167,-0.058487154,-0.100296804,-0.282165021,-0.34660709,-0.261986358,-0.085854027,-0.100440285,-0.214694852,-0.159097004,-0.217102195,-0.031434174,-0.083827701,-0.21204587,-0.15598345,-0.283658581,-0.270314823,-0.233918283,-0.066824647,-0.179927383,-0.254317086,-0.2233381,-0.344443913,-0.370984549,-0.259644937,-0.16176137,-0.115116242,-0.127315871,-0.133922185,-0.187497035,-0.229316151,-0.127318079,-0.157673824,-0.266610339,-0.325780101,-0.228829214,-0.062085277,-0.060757832,-0.214046334,-0.129871673,-0.187610243,-0.035230465,-0.064616077,-0.200321943,-0.178702175,-0.211555113,-0.264254675,-0.167462317,-0.058483268,-0.151077058,-0.225809125,-0.215018042,-0.277419719,-0.35667329,-0.222215179,-0.110028842,-0.128326711,-0.072427018,-0.079900373,-0.166938775,-0.235897105,-0.076096295,-0.126710372,-0.362153364,-0.41621489,-0.382851154,-0.232944305,-0.265942569,-0.340732609,-0.240950944,-0.291341492,-0.037794782,-0.056567028,-0.343576925,-0.259144203,-0.357404502,-0.322680365,-0.314961013,-0.080592603,-0.284153753,-0.316619946,-0.387100709,-0.479894843,-0.432309617,-0.33682691,-0.214481808,-0.237498409,-0.217641282,-0.246169656,-0.22927866,-0.333223997,-0.227120125,-0.226647292
6,tGravityAcc-mean()-Z,0.44581772,0.64683488,0.488703185,0.341531311,0.263644692,0.175867709,0.907537823,0.719831539,0.957873042,-0.031121624,0.11262019,0.275043198,0.598884989,0.83656291,-0.036919291,0.893884469,0.722657502,0.605495318,0.687623853,0.477573305,0.788251027,0.771903907,0.918782825,0.68383991,0.526353818,0.614523406,0.84539238,0.015757003,0.590452224,0.681459211,0.332043703,0.198726769,0.139020582,0.110120481,0.143006858,0.069521966,0.064963625,0.263895186,0.085263099,0.202534573,0.188531696,0.08856407,0.075777386,-0.094597053,0.00281566,0.08926822,-0.135803882,0.161877418,0.489126595,0.151679135,-0.056776606,0.315551492,0.063011156,0.109559621,0.167140956,0.314387627,0.276417431,0.135402567,0.286256064,0.34476602,0.013490582,0.129747161,0.024763107,0.166893826,0.138638437,0.013919347,-0.051657372,-0.097939202,0.009147692,0.034698021,0.127198423,-0.039538277,-0.052485661,-0.338174889,0.064597599,-0.166737468,-0.202687757,-0.048576711,0.130643718,0.070865529,-0.20768569,0.032382498,-0.223631181,-0.05305854,0.201182106,0.088414268,-0.005574169,-0.03858305,0.031614585,0.024304436,-0.068102864,0.084727087,-0.138107866,0.127764113,0.002476236,0.033188883,-0.160846924,-0.186267837,-0.115856121,0.054927624,0.134053215,-0.036084288,-0.131299719,-0.422495268,0.075735673,-0.217351194,-0.19026595,-0.060931342,-0.08984288,-0.035130214,-0.22094796,0.023378006,-0.16076336,-0.14091003,0.188416273,0.1087387,-0.126210937,-0.125912861,0.095579214,-0.003925564,-0.062119959,-0.043889016,-0.102352758,0.148714809,0.021677791,-0.003079817,-0.154935539,-0.141817935,-0.082276175,0.041871541,0.132371685,-0.056105062,-0.095082034,-0.392555882,0.078882241,-0.225382496,-0.160962986,-0.049363673,-0.126146869,-0.028259158,-0.187870253,0.041298796,-0.153671532,-0.140123155,0.218795958,0.15390632,-0.140047614,-0.121477256,0.091965045,0.028808167,-0.07540294,-0.195888239,-0.162943955,0.084167538,-0.023203536,-0.018460896,-0.40359971,-0.192306961,-0.266009867,0.02275277,0.146633747,-0.070250382,-0.207507171,-0.49508872,0.081180341,-0.379059698,-0.298171464,-0.106112549,-0.221008763,-0.130117635,-0.309735039,-0.095797899,-0.35593445,-0.227134869,0.108230987,-0.001993106,-0.29464264,-0.265207858,0.044378601,-0.02214011
7,tBodyAccJerk-mean()-X,0.081086534,0.082597251,0.076981113,0.093449422,0.084816482,0.096348196,0.096890402,0.08783269,0.088073448,0.073815064,0.076664534,0.085429539,0.076777483,0.098140385,0.076751544,0.078396027,0.077908975,0.074998501,0.0772318,0.089271601,0.08201502,0.075220224,0.083178761,0.080721233,0.087907169,0.086650253,0.076626855,0.078077064,0.07188612,0.075219667,0.07748252,0.072256439,0.072609842,0.078450024,0.074957741,0.075472164,0.066851979,0.078671376,0.077005006,0.077537251,0.076177732,0.077127766,0.075286588,0.074187884,0.078479279,0.073434672,0.075070986,0.076622889,0.075374713,0.074656839,0.075710979,0.080768731,0.077002235,0.076331853,0.075208701,0.076444323,0.077903896,0.076867162,0.07454381,0.076005773,0.075376654,0.07475886,0.075090062,0.072132838,0.072518986,0.07306996,0.075191511,0.075373905,0.076003205,0.080978439,0.076009772,0.074463176,0.075863096,0.073793375,0.07522807,0.073643891,0.074086496,0.075353948,0.075412037,0.076355616,0.075454386,0.075232289,0.075020648,0.074617742,0.07523373,0.075357821,0.074969981,0.07531316,0.075305253,0.075241447,0.074041633,0.06180807,0.081474588,0.078352908,0.084588883,0.069958588,0.090146265,0.070339349,0.070435727,0.085794381,0.082970933,0.045764401,0.080959023,0.072087791,0.089777072,0.077022377,0.077318858,0.076752428,0.082224628,0.084123432,0.078225182,0.062777763,0.098731909,0.073193898,0.072172071,0.065230374,0.068433197,0.093112223,0.085374335,0.068868997,0.054155316,0.110040616,0.072568929,0.097186275,0.1096506,0.103681344,0.096892618,0.118938088,0.130193044,0.100959387,0.089716866,0.062150025,0.101704538,0.042863163,0.071145716,0.090785706,0.118250858,0.080904405,0.073093031,0.069503106,0.090145288,0.101584641,0.057801061,0.080261983,0.110656929,0.111470788,0.093627322,0.097265346,0.063687197,0.088393304,0.10137273,0.074450784,0.042688099,0.056097191,0.079544348,0.07210675,0.072464994,0.081381681,0.069226625,0.06488293,0.096856168,0.072866081,0.069244207,0.080330302,0.072972433,0.076252668,0.076804417,0.081240203,0.083154508,0.083645126,0.104034223,0.087717224,0.072364998,0.08623101,0.074004144,0.075564532,0.073476353,0.070683187,0.106345193,0.057984037
8,tBodyAccJerk-mean()-Y,0.003838204,0.012254788,0.013804101,0.006933132,0.007474608,-0.001145292,0.025062418,0.023329916,0.011561733,0.015698997,0.012219385,0.007744083,0.018344189,-0.008315071,0.012398427,0.013280505,0.007068671,0.011701896,0.011149573,0.001108225,0.011994367,0.004598348,0.01535144,0.011981952,0.028461931,0.012442003,0.012649109,0.005939923,0.011691206,0.010768019,-0.000619103,0.011695451,0.002725291,-0.010858217,-0.002787733,2.56E-06,0.011686342,-0.006575163,0.009817397,0.008978755,-0.000213839,0.01059905,-0.001123441,-0.00436186,-0.008984376,0.009856429,0.00560971,0.006945603,0.013792101,0.005974303,0.012102014,-0.000842715,0.010135139,0.004767026,0.004854159,0.00692239,0.004670724,0.014833823,0.005985314,0.009756925,0.007975731,0.010329177,0.007716636,-0.006530157,-0.002219902,0.00871884,0.006947004,0.008149517,0.01306998,0.011900763,0.012413097,0.010048004,0.007620352,0.005795662,0.006172555,0.012076795,0.006578535,0.010469872,0.009913383,0.011693022,0.010062117,0.010728696,0.010586152,0.010983969,0.00663214,0.008173223,0.012243331,0.009073632,0.011510498,0.012086042,0.02827211,0.018249268,0.010059149,0.002956024,-0.01631941,-0.016483172,0.018432272,-0.006039475,0.021225591,0.004082488,0.012768248,0.019776695,0.003083645,0.024116024,0.008905886,0.009684447,0.013009855,0.028274548,0.014411348,-0.021061956,0.002351976,0.035674634,0.014895593,0.012125459,0.003511152,0.019671214,0.001612303,0.02264866,0.022387045,0.021965655,0.029650449,-0.003279591,0.010970777,0.005637802,0.013761823,0.009876858,-0.019106108,-0.038019385,-0.020686597,0.01078249,0.02522742,-0.011928915,-0.007518682,0.029133942,0.0151159,-0.014811453,-0.011382618,-0.000757069,-0.038687211,0.004364496,-0.021399849,0.021112611,0.037500515,-0.004473163,-0.019541663,-0.007131602,0.015986947,0.01434509,0.000621017,-0.007561108,0.019486308,-0.009709855,0.039724927,0.023401899,0.014013036,0.003713434,-0.000812387,0.014120592,0.001266122,0.026631428,-0.013262529,-0.006894949,-0.001280098,-0.018313116,-0.004173618,0.017372933,0.030835651,0.021165469,0.056818586,0.006599826,-0.015629007,0.036708297,0.039986287,-0.015081605,0.00925514,0.002091717,-0.014022937,0.022298541,-0.000689019,-0.003587192
9,tBodyAccJerk-mean()-Z,0.010834236,-0.001802649,-0.004356259,-0.006410543,-0.003040672,0.003288173,-0.013165392,-0.016921879,-0.007053678,0.007166896,0.002776905,-0.004371484,-0.009883897,-0.032360151,-0.00443928,-0.001541051,-0.000143543,-0.001213448,-0.000988691,-0.003098918,-0.013905344,-0.004674387,-0.006282351,-0.005892258,-0.030717944,-0.006147551,-0.000685549,0.006009719,0.002415428,-0.00037419,-0.003367792,0.007605469,-0.004233484,-0.012149995,0.003386096,0.006237278,0.016200414,-0.010680892,-0.008674673,-0.004995664,0.008334008,-0.00204576,-0.023239725,-0.010574451,-0.002372075,-0.011503058,-0.001554484,0.00278757,0.001731068,0.001601349,-0.000175352,-0.012685248,-0.001488234,-0.001133002,0.002107608,-0.00780238,-0.006112854,0.000257854,0.003167701,-0.002781618,-0.00368525,-0.008371588,-0.008071779,-0.021188989,-0.012281222,-0.004817122,-0.010842029,0.003221533,-0.004700786,-0.00485841,-0.000745916,-0.007881314,-0.000704979,-0.007207778,-0.006587371,-0.004763106,-0.004035996,-0.001816405,0.001292163,-0.006136819,-0.003320937,-0.006262917,-0.005292609,-0.003587749,-0.006228088,-0.002194978,-0.001379503,-0.002678101,0.000332895,0.001908415,-0.004168406,0.007895337,-0.005622646,-0.000767679,8.32E-05,-0.007389312,-0.021039855,-0.000673799,0.004147627,-0.01629532,-0.013364828,0.00502587,0.00597249,0.019972304,0.000658706,0.003608033,0.024375333,0.010685091,-0.032752872,0.006344572,-0.010181342,0.004436914,-0.001908106,-0.011640139,-0.003350987,-0.006183058,-0.020752327,-0.007629152,0.009415473,-0.007395342,-0.010971973,-0.020935168,-0.00202728,-0.007291378,0.021339766,-0.009324706,-0.016039039,-0.039435616,0.002625689,0.000152617,-0.022520891,0.004852624,-0.025297767,0.01049526,-0.01002129,-0.029312256,-0.009398381,-0.014176992,-0.009552025,-0.002534821,-0.012555109,0.011249902,-0.000982717,-0.008469159,-0.011334879,-0.011891143,-0.009850348,0.001239501,-0.014064298,-0.011830142,-0.045562545,0.019481439,0.020820554,0.003402808,-0.025590953,-0.002378166,-7.45E-05,-0.067458392,0.007660466,-0.051337583,-0.01514639,0.009066628,-0.02541263,0.003441995,-0.005258799,0.038053359,0.007595338,0.009358966,0.031668198,-0.024542099,-0.036011547,-0.033616971,0.015923417,-0.013235365,-0.011690681,-0.011708928,0.006746791,0.007490817,-0.029071387,0.01615062
10,tBodyGyro-mean()-X,-0.016553094,-0.018476607,-0.020817054,-0.009231563,-0.021893501,-0.007960503,-0.002826419,0.005353612,-0.013632036,-0.019555937,-0.019174384,-0.014654681,-0.0097361,0.005052212,-0.016830089,-0.016154541,-0.023475647,-0.025176181,-0.031207273,-0.023176062,-0.030512619,-0.020831137,-0.011339972,-0.014367993,0.003727235,-0.017065624,-0.019542733,-0.017367706,-0.0258281,-0.026781222,-0.045350057,-0.045470662,-0.03853652,-0.049443512,-0.042235521,-0.037244228,-0.049637972,-0.054739699,-0.042328877,-0.043243218,-0.039998492,-0.042415918,-0.035512486,-0.044040333,-0.037711113,-0.041201404,-0.042549159,-0.033305703,-0.021415128,-0.036405929,-0.019871282,-0.036043068,-0.047258346,-0.035622962,-0.035205209,-0.037021745,-0.037183082,-0.033901803,-0.037927111,-0.035842648,-0.023987735,-0.023862388,-0.024662607,-0.030644934,-0.03227119,-0.028251913,-0.029158221,-0.021967198,-0.029183136,-0.028185433,-0.029314152,-0.030003043,-0.029549216,-0.022088653,-0.026243356,-0.029933729,-0.026957694,-0.026587325,-0.025090574,-0.024133505,-0.01917319,-0.027520176,-0.032739775,-0.027861151,-0.024794675,-0.024534584,-0.026731654,-0.025328154,-0.027607557,-0.027613854,-0.041830964,-0.053025816,-0.025640519,-0.031798256,-0.04889199,-0.025509619,0.002288352,0.023508823,-0.08083606,0.010689498,-0.0426929,-0.104513671,-0.017420763,-0.003476551,-0.055488385,-0.015172191,-0.009222655,-0.039939972,-0.027497098,-0.023410423,-0.045932339,0.000777157,-0.063115687,-0.054512687,-0.015630538,-0.003340859,-0.085588357,-0.105896208,-0.007956682,-0.045950536,-0.03507819,-0.115947353,-0.131573276,-0.102838823,-0.06829457,-0.096083744,-0.105409613,-0.121189626,-0.091638301,-0.124839594,-0.125068699,-0.112531564,-0.122672202,-0.014707965,-0.136618653,-0.022537337,0.067772839,-0.057654866,-0.205775427,-0.111367748,-0.126388024,-0.077961121,-0.057823019,-0.086706901,0.002991129,-0.010752208,-0.159826552,-0.14109631,-0.037412607,-0.07455913,0.05054938,-0.057691263,0.072198031,0.03938252,0.039519112,-0.076740683,-0.138778108,0.192704476,-0.16396719,0.073344717,-0.08209097,-0.09312341,-0.138293762,0.081384169,0.090334003,0.071840888,-0.030425057,-0.047068392,0.038853709,0.065919326,0.062608689,0.134978808,0.095794025,0.088316377,0.055612192,-0.024795083,-0.094034489,-0.129362971,0.093198946,-0.003559746
